timestamp rx ry rz vx vy vz qx qy qz qw r p y 
1634146529696727 1.588518739 1.643203139 -3.655071259 0.077537879 -0.033955112 1.185077310 0.000684560 0.009321437 0.005617501 0.999940515 -0.020863587 0.014706745 0.002657367
1634146529748805 1.593275785 1.641267180 -3.594802141 0.069207668 -0.038084090 1.179595351 0.000707086 0.009106992 0.005144634 0.999945104 -0.016001962 0.005070093 -0.002540840
1634146529796805 1.597220302 1.639238477 -3.539224148 0.061022155 -0.041095439 1.174544930 0.000738836 0.008984831 0.004790740 0.999947965 -0.014965449 0.004592204 0.000704718
1634146529848884 1.600909829 1.636819124 -3.478955030 0.053137921 -0.044188458 1.169617295 0.000799302 0.008893068 0.004453404 0.999950290 -0.013343243 0.004408949 -0.003228136
1634146529896884 1.603905797 1.634384632 -3.423394918 0.045761183 -0.047228027 1.161860585 0.000820368 0.008827223 0.004228461 0.999951780 -0.008984066 0.002413795 0.001365134
1634146529948963 1.606636405 1.631527066 -3.363743544 0.038641501 -0.050703172 1.135022283 0.000841996 0.008725892 0.003980341 0.999953687 -0.011396751 0.004282690 -0.000165755
1634146529996963 1.610010147 1.628470659 -3.309496164 0.031878449 -0.053486399 1.095574141 0.000821936 0.008600474 0.003591502 0.999956250 -0.013388200 0.003186702 0.002298552
1634146530049041 1.614612937 1.624757290 -3.252151012 0.024841441 -0.056221552 1.041616559 0.000813041 0.008444585 0.003259212 0.999958754 -0.016412161 0.008811388 0.000746392
1634146530097041 1.618363738 1.621172309 -3.201790810 0.019429712 -0.058342703 0.986133695 0.000848909 0.008259657 0.002917048 0.999961376 -0.013490341 0.005089956 -0.002921141
1634146530149120 1.621516705 1.617283225 -3.150694132 0.012868748 -0.060269721 0.923434138 0.000832611 0.008151887 0.002467357 0.999963462 -0.022997957 0.004197442 0.001259715
1634146530197120 1.623982787 1.613622546 -3.106581926 0.006542264 -0.060877360 0.864079177 0.000809932 0.008125602 0.002091236 0.999964535 -0.013443498 0.000869635 -0.001287456
1634146530249204 1.625853419 1.609696865 -3.062307596 -0.000448532 -0.061998475 0.801512837 0.000802189 0.008101349 0.001728010 0.999965370 -0.013282197 0.004948092 -0.000956362
1634146530297204 1.627132773 1.606027246 -3.024220943 -0.007260150 -0.062050030 0.746099293 0.000802913 0.007954047 0.001425496 0.999967039 -0.007658275 0.007862386 -0.000995250
1634146530349289 1.627840996 1.602144599 -2.986014843 -0.013587153 -0.061529998 0.689255774 0.000818041 0.007683443 0.001134227 0.999969542 -0.009290965 0.011147809 -0.000139306
1634146530397289 1.629488707 1.598249435 -2.952382803 -0.017300604 -0.061336435 0.639300168 0.000812793 0.007364310 0.000912561 0.999972224 -0.006781070 0.014432316 0.000410664
1634146530449374 1.632350445 1.593739271 -2.917353868 -0.021553785 -0.061311297 0.589326024 0.000823048 0.007031850 0.000790175 0.999974728 -0.003852542 0.007798177 0.000457858
1634146530497374 1.634534121 1.589577675 -2.887452126 -0.025759179 -0.061709527 0.545869648 0.000846951 0.006811264 0.000602808 0.999976277 -0.006404997 0.005584179 -0.002058313
1634146530549459 1.635927320 1.585258842 -2.857928753 -0.029850017 -0.061381616 0.501556396 0.000855146 0.006769756 0.000347657 0.999976635 -0.012245513 -0.002050390 0.002319834
1634146530597459 1.636836648 1.581323266 -2.832634449 -0.033753954 -0.060253546 0.463071078 0.000829743 0.006796024 0.000029857 0.999976635 -0.015954025 -0.002948543 0.004199494
1634146530649544 1.637063146 1.577314258 -2.807474852 -0.037111379 -0.058212817 0.424330115 0.000818299 0.006783640 -0.000287272 0.999976695 -0.010430046 0.000133356 -0.000361308
1634146530697544 1.636959076 1.573686004 -2.785928965 -0.040585645 -0.057010483 0.391649991 0.000834843 0.006749470 -0.000496416 0.999976814 -0.007756354 0.001338973 0.003055350
1634146530749623 1.636231661 1.569979787 -2.764714718 -0.044893812 -0.055340633 0.358276039 0.000797120 0.006671757 -0.000654155 0.999977231 -0.003863594 0.006990724 -0.001787602
1634146530797623 1.636632919 1.566874385 -2.746002913 -0.047286909 -0.054057498 0.330640495 0.000817386 0.006498894 -0.000705203 0.999978304 -0.003079722 0.008129417 0.000740196
1634146530849701 1.638234973 1.564007640 -2.726846218 -0.049303114 -0.052038327 0.303047091 0.000775065 0.006218371 -0.000885397 0.999979973 -0.008969644 0.007551195 0.000348939
1634146530897701 1.639342904 1.561451435 -2.710683584 -0.050861515 -0.048764601 0.279678673 0.000749794 0.006037682 -0.001060856 0.999980986 -0.006791909 0.002621591 0.002061608
1634146530949779 1.639638424 1.558826566 -2.694823027 -0.052996434 -0.045796756 0.255395710 0.000736791 0.005976447 -0.001144316 0.999981225 -0.000466019 -0.004270009 -0.001395933
1634146530997779 1.639579773 1.556498289 -2.681272268 -0.055629436 -0.043684781 0.234765381 0.000731631 0.006020373 -0.001082425 0.999981046 0.003033770 -0.003669663 -0.000214642
1634146531049858 1.638779879 1.554087162 -2.667927980 -0.058430817 -0.041720178 0.214792475 0.000702622 0.006046354 -0.000951968 0.999981046 0.004098501 0.001303944 0.000128358
1634146531097858 1.637758613 1.551928997 -2.656475067 -0.060879983 -0.039718810 0.198257595 0.000767016 0.005999361 -0.000865150 0.999981344 0.005209368 0.003615428 -0.003111092
1634146531149936 1.636051893 1.549687624 -2.645375013 -0.064170726 -0.038006801 0.180915222 0.000798655 0.005887981 -0.000823478 0.999981999 0.001072671 0.007657361 -0.001422325
1634146531197936 1.635390282 1.547478676 -2.635549545 -0.065456182 -0.036427949 0.166230872 0.000776784 0.005714789 -0.000820009 0.999983132 0.000330370 0.010099644 0.003196644
1634146531250015 1.635637522 1.544896126 -2.625507355 -0.065777794 -0.035330441 0.152072445 0.000734310 0.005400639 -0.000868896 0.999984801 -0.003473349 0.006859691 -0.004173014
1634146531298015 1.635603905 1.542565107 -2.616959095 -0.065732904 -0.034191232 0.139786631 0.000731407 0.005188059 -0.000985281 0.999985814 -0.001769266 0.009954666 0.003055709
1634146531350093 1.634806156 1.540206194 -2.608706236 -0.066676848 -0.032614853 0.127492025 0.000691040 0.005133692 -0.001111887 0.999986053 -0.004923672 -0.000930982 0.001222013
1634146531398093 1.633827329 1.538117051 -2.601775885 -0.067222014 -0.030662268 0.116760738 0.000689014 0.005185012 -0.001291879 0.999985456 -0.006893478 -0.000455664 0.003257426
1634146531450178 1.632203221 1.536071062 -2.595015287 -0.068093203 -0.028227784 0.106477633 0.000691900 0.005233236 -0.001390692 0.999985158 -0.003070624 -0.003756205 0.002355121
1634146531498178 1.630510807 1.534252048 -2.589245796 -0.069013134 -0.027039280 0.098397724 0.000701568 0.005268481 -0.001398830 0.999984920 0.004440964 -0.004354970 -0.001643813
1634146531550257 1.628216743 1.532461882 -2.583602905 -0.070612781 -0.024749832 0.089897424 0.000721858 0.005213576 -0.001377740 0.999985218 0.003711328 0.006231164 -0.000045331
1634146531598257 1.626804471 1.530763984 -2.578076363 -0.071299084 -0.022667406 0.082906067 0.000747066 0.005122494 -0.001347093 0.999985754 -0.001065063 0.003488901 -0.002265084
1634146531650336 1.626031995 1.528903127 -2.571806669 -0.071266942 -0.020996256 0.076523654 0.000769156 0.004917244 -0.001284853 0.999986827 0.004925422 0.006992524 -0.001136474
1634146531698336 1.625092983 1.527286053 -2.566104412 -0.070907429 -0.019764857 0.069722526 0.000750792 0.004724278 -0.001205833 0.999987841 0.001247453 0.008350642 -0.001509547
1634146531750415 1.623472571 1.525691271 -2.560857296 -0.071303442 -0.018957511 0.063495919 0.000723129 0.004590997 -0.001160346 0.999988556 -0.000350016 0.004058962 -0.000391243
1634146531798415 1.621770144 1.524288893 -2.556206465 -0.072384827 -0.017066959 0.057605892 0.000743031 0.004503155 -0.001188060 0.999988854 -0.000194771 -0.002434997 -0.002989392
1634146531850500 1.619433284 1.522939205 -2.551752806 -0.073290005 -0.015805451 0.050839610 0.000772340 0.004467579 -0.001246971 0.999989033 -0.003250870 0.003744360 -0.000499620
1634146531898500 1.617102981 1.521757364 -2.548048973 -0.073906049 -0.014325326 0.045733973 0.000808909 0.004332572 -0.001274401 0.999989569 -0.000072123 0.007495934 -0.001723377
